
0.0.0	31.*.*	韩国
32.0.0	32.47.*	广东省河源市
32.48.0	32.111.*	广东省梅州市
32.112.0	32.174.*	广东省清远市
32.175.0	32.*.*	广东省韶关市
33.0.0	33.147.*	广东省中山市
33.148.0	33.174.75	广东省惠州市
33.174.76	33.174.76	广东省惠州市博罗县
33.174.77	33.174.77	广东省惠州市
33.174.78	33.174.78	广东省惠州市博罗县
33.174.79	33.174.245	广东省惠州市
33.174.246	33.174.246	广东省惠州市惠东县
33.174.247	33.175.181	广东省惠州市
33.175.182	33.175.182	广东省惠州市博罗县
33.175.183	33.215.174	广东省惠州市
33.215.175	33.215.175	广东省惠州市惠东县
33.215.176	33.215.178	广东省惠州市
33.215.179	33.215.179	广东省惠州市惠东县
33.215.180	33.253.149	广东省惠州市
33.253.150	33.253.150	广东省惠州市惠东县
33.253.151	33.254.97	广东省惠州市
33.254.98	33.254.98	广东省惠州市博罗县
33.254.99	33.*.137	广东省惠州市
33.*.138	33.*.138	广东省惠州市惠东县
33.*.139	33.*.*	广东省惠州市
34.0.0	34.2.14	广东省肇庆市
34.2.15	34.2.15	广东省肇庆市端州区
34.2.16	34.2.17	广东省肇庆市
34.2.18	34.2.18	广东省肇庆市端州区
34.2.19	34.2.81	广东省肇庆市
34.2.82	34.2.82	广东省肇庆市端州区
34.2.83	34.2.153	广东省肇庆市
34.2.154	34.2.154	广东省肇庆市端州区
34.2.155	34.3.17	广东省肇庆市
34.3.18	34.3.18	广东省肇庆市端州区
34.3.19	34.3.21	广东省肇庆市
34.3.22	34.3.22	广东省肇庆市端州区
34.3.23	34.3.105	广东省肇庆市
34.3.106	34.3.106	广东省肇庆市端州区
34.3.107	34.3.117	广东省肇庆市
34.3.118	34.3.118	广东省肇庆市端州区
34.3.119	34.3.148	广东省肇庆市
34.3.149	34.3.149	广东省肇庆市端州区
34.3.150	34.5.41	广东省肇庆市
34.5.42	34.5.42	广东省肇庆市端州区
34.5.43	34.5.57	广东省肇庆市
34.5.58	34.5.59	广东省肇庆市端州区
34.5.60	34.5.139	广东省肇庆市
34.5.140	34.5.141	广东省肇庆市端州区
34.5.142	34.17.49	广东省肇庆市
34.17.50	34.17.51	广东省肇庆市端州区
34.17.52	34.17.98	广东省肇庆市
34.17.99	34.17.99	广东省肇庆市端州区
34.17.100	34.17.100	广东省肇庆市
34.17.101	34.17.101	广东省肇庆市端州区
34.17.102	34.62.*	广东省肇庆市
34.63.0	34.63.*	广东省汕头市
34.64.0	34.99.*	广东省阳江市
34.100.0	34.111.*	广东省肇庆市
34.112.0	34.112.58	广东省茂名市
34.112.59	34.112.59	广东省茂名市化州市
34.112.60	34.114.17	广东省茂名市
34.114.18	34.114.21	广东省茂名市化州市
34.114.22	34.114.65	广东省茂名市
34.114.66	34.114.66	广东省茂名市化州市
34.114.67	34.114.121	广东省茂名市
34.114.122	34.114.122	广东省茂名市化州市
34.114.123	34.114.200	广东省茂名市
34.114.201	34.114.201	广东省茂名市信宜市
34.114.202	34.114.204	广东省茂名市
34.114.205	34.114.205	广东省茂名市信宜市
34.114.206	34.114.209	广东省茂名市
34.114.210	34.114.210	广东省茂名市信宜市
34.114.211	34.114.241	广东省茂名市
34.114.242	34.114.242	广东省茂名市信宜市
34.114.243	34.127.25	广东省茂名市
34.127.26	34.127.26	广东省茂名市化州市
34.127.27	34.127.34	广东省茂名市
34.127.35	34.127.35	广东省茂名市化州市
34.127.36	34.127.50	广东省茂名市
34.127.51	34.127.51	广东省茂名市化州市
34.127.52	34.127.89	广东省茂名市
34.127.90	34.127.90	广东省茂名市化州市
34.127.91	34.127.97	广东省茂名市
34.127.98	34.127.100	广东省茂名市化州市
34.127.101	34.127.119	广东省茂名市
34.127.120	34.127.120	广东省茂名市化州市
34.127.121	34.127.145	广东省茂名市
34.127.146	34.127.146	广东省茂名市信宜市
34.127.147	34.127.169	广东省茂名市
34.127.170	34.127.172	广东省茂名市信宜市
34.127.173	34.127.187	广东省茂名市
34.127.188	34.127.188	广东省茂名市信宜市
34.127.189	34.127.194	广东省茂名市
34.127.195	34.127.195	广东省茂名市信宜市
34.127.196	34.130.9	广东省茂名市
34.130.10	34.130.12	广东省茂名市化州市
34.130.13	34.130.27	广东省茂名市
34.130.28	34.130.28	广东省茂名市化州市
34.130.29	34.130.41	广东省茂名市
34.130.42	34.130.42	广东省茂名市化州市
34.130.43	34.130.121	广东省茂名市
34.130.122	34.130.126	广东省茂名市化州市
34.130.127	34.130.137	广东省茂名市
34.130.138	34.130.138	广东省茂名市高州市
34.130.139	34.130.153	广东省茂名市
34.130.154	34.130.154	广东省茂名市高州市
34.130.155	34.130.170	广东省茂名市
34.130.171	34.130.171	广东省茂名市高州市
34.130.172	34.130.209	广东省茂名市
34.130.210	34.130.210	广东省茂名市高州市
34.130.211	34.130.213	广东省茂名市
34.130.214	34.130.214	广东省茂名市高州市
34.130.215	34.130.233	广东省茂名市
34.130.234	34.130.234	广东省茂名市高州市
34.130.235	34.130.249	广东省茂名市
34.130.250	34.130.250	广东省茂名市高州市
34.130.251	34.159.*	广东省茂名市
34.160.0	34.195.*	广东省云浮市
34.196.0	34.232.155	广东省湛江市
34.232.156	34.232.156	广东省廉江市
34.232.157	34.236.0	广东省湛江市
34.236.1	34.236.200	广东省湛江市赤坎区
34.236.201	34.*.*	广东省湛江市
35.0.0	35.119.*	广东省汕头市
35.120.0	35.143.*	广东省揭阳市
35.144.0	35.179.*	广东省汕尾市
35.180.0	35.215.*	广东省潮州市
35.216.0	35.233.*	广东省汕头市
35.234.0	35.234.*	广东省汕头市潮阳区
35.235.0	35.*.*	广东省汕头市
36.0.0	36.180.12	广东省东莞市
36.180.13	36.180.13	广东省东莞市虎门镇
36.180.14	36.180.51	广东省东莞市
36.180.52	36.180.52	广东省东莞市虎门镇
36.180.53	36.180.65	广东省东莞市
36.180.66	36.180.66	广东省东莞市虎门镇
36.180.67	36.180.130	广东省东莞市
36.180.131	36.180.131	广东省东莞市虎门镇
36.180.132	36.180.133	广东省东莞市
36.180.134	36.180.134	广东省东莞市虎门镇
36.180.135	36.180.169	广东省东莞市
36.180.170	36.180.178	广东省东莞市虎门镇
36.180.179	36.180.192	广东省东莞市
36.180.193	36.180.200	广东省东莞市虎门镇
36.180.201	36.191.*	广东省东莞市
36.192.0	36.*.*	广东省江门市
37.0.0	37.7.*	广东省广州市
37.8.0	37.11.*	广东省深圳市
37.12.0	37.15.*	广东省江门市
37.16.0	37.23.*	广东省东莞市
37.24.0	37.25.*	广东省汕头市
37.26.0	37.27.*	广东省珠海市
37.28.0	37.31.*	广东省江门市
37.32.0	37.33.*	广东省惠州市
37.34.0	37.37.*	广东省江门市
37.38.0	37.39.*	广东省中山市
37.40.0	37.40.*	广东省佛山市
37.41.0	37.47.*	广东省江门市
37.48.0	37.49.*	广东省佛山市
37.50.0	37.59.*	广东省珠海市
37.60.0	37.63.*	广东省深圳市
37.64.0	37.70.*	广东省珠海市
37.71.0	37.71.*	广东省东莞市
37.72.0	37.79.*	广东省珠海市
37.80.0	37.159.*	广东省
37.160.0	37.171.*	广东省江门市
37.172.0	37.*.*	广东省东莞市
38.0.0	38.33.203	广东省珠海市
38.33.204	38.33.204	广东省珠海市拱北区
38.33.205	38.63.*	广东省珠海市
38.64.0	38.79.*	广东省佛山市三水区
38.80.0	38.87.*	广东省佛山市
38.88.0	38.88.*	广东省佛山市三水区
38.89.0	38.91.*	广东省佛山市
38.92.0	38.95.*	广东省佛山市三水区
38.96.0	38.108.*	广东省佛山市
38.109.0	38.109.*	广东省佛山市禅城区
38.110.0	38.120.*	广东省佛山市
38.121.0	38.121.*	广东省佛山市南海区
38.122.0	38.132.*	广东省佛山市
38.133.0	38.138.*	广东省佛山市南海区
38.139.0	38.143.*	广东省佛山市
38.144.0	38.147.*	广东省佛山市南海区
38.148.0	38.163.*	广东省佛山市
38.164.0	38.171.*	广东省佛山市南海区
38.172.0	38.175.*	广东省佛山市
38.176.0	38.*.*	广东省佛山市顺德区
39.0.0	39.2.*	广东省佛山市
39.3.0	39.3.*	广东省佛山市南海区
39.4.0	39.4.*	广东省佛山市
39.5.0	39.16.*	广东省佛山市顺徳区
39.17.0	39.20.*	广东省佛山市
39.21.0	39.21.*	广东省佛山市顺德区
39.22.0	39.28.*	广东省佛山市
39.29.0	39.30.*	广东省佛山市顺德区
39.31.0	39.40.*	广东省佛山市
39.41.0	39.41.*	广东省佛山市南海区
39.42.0	39.46.*	广东省佛山市
39.47.0	39.47.*	广东省佛山市南海区
39.48.0	39.48.*	广东省佛山市顺德区
39.49.0	39.57.*	广东省佛山市
39.58.0	39.58.*	广东省佛山市禅城区
39.59.0	39.61.17	广东省佛山市
39.61.18	39.61.18	广东省佛山市禅城区
39.61.19	39.61.189	广东省佛山市
39.61.190	39.61.190	广东省佛山市禅城区
39.61.191	39.62.101	广东省佛山市
39.62.102	39.62.102	广东省佛山市三水区
